,0
256,20058650.387660258
257,12164335.083333332
258,14357811.746153846
259,11713765.31474359
260,14357811.746153846
261,11713765.31474359
262,14357811.746153846
263,11713765.31474359
264,13624789.698878204
265,11692376.797435898
266,20058650.387660258
267,12164737.758333333
268,20665132.137660258
269,11523378.01746795
270,32140794.179166667
271,9897907.53076923
272,12216490.258070473
273,7769132.249800685
274,22805233.878585186
275,19293465.174513124
276,50353126.75037531
277,49401911.615812406
278,97897751.22840996
279,98145097.36892222
280,20058650.387660258
281,12164335.083333332
282,13636613.333653847
283,11713765.31474359
284,13636613.333653847
285,11713765.31474359
286,13636613.333653847
287,11713765.31474359
288,14.560829323710237
289,21.25035084202085
290,13.936096631916598
291,20.456980085538625
292,13.997945068163594
293,20.60780874097835
294,14.157294172681102
295,20.473720261962043
296,12.443501337318626
297,11.97457764300989
298,12.499945234308683
299,11.457690443731623
300,14.214392513362597
301,13.003536627906977
302,17.5193732481416
303,16.729974659182037
304,15.882835471798984
305,21.42263098102112
306,15.494069099171345
307,21.041549719326383
308,15.691743517775997
309,21.19495121625234
310,15.301974739374499
311,21.528752338946806
312,14.939371157444533
313,19.189170676289763
314,14.581011093290563
315,20.092471932638333
316,14.438268511093291
317,20.091970729751402
318,14.018293905372895
319,20.220445736434108
320,12.535225495052499
321,11.817763600140337
322,12.62721892687421
323,11.495609914628442
324,14.239575726765214
325,12.954775523757018
326,17.755463344187184
327,16.905740077018176
328,16.610314755412993
329,21.895599438652766
330,16.560194466720127
331,21.302409115209837
332,16.35329791499599
333,20.840500534616414
334,15.470813285217856
335,21.293888666132048
336,14.850958968190323
337,20.13453956161454
338,14.144563619353114
339,20.51648957497995
340,14.231772921678695
341,20.427442528735632
342,14.438268511093291
343,19.995338813151562
344,12.582605301755303
345,11.792651173441259
346,12.648036924658484
347,11.475083142667401
348,14.25978086635295
349,12.96581845909349
350,17.776116537016193
351,16.882160132442863
352,16.537874231488907
353,22.24096164127239
354,16.557989174017642
355,22.46102312215985
356,16.697524057738573
357,21.24333400160385
358,16.35329791499599
359,21.055817294840953
360,76.8443603515625
361,11.5135498046875
362,77.2928466796875
363,13.9459228515625
364,76.3900146484375
365,12.90869140625
366,76.3900146484375
367,12.6868896484375
368,76.68993611349536
369,8.229246728515625
370,496.7190423555004
371,433.8764848632813
372,1901.2805818015786
373,1853.3015691894532
374,4078.9089764738014
375,4049.659434033203
376,78.0870361328125
377,19.015380859375
378,78.0870361328125
379,18.4139404296875
380,78.0870361328125
381,18.4139404296875
382,78.0870361328125
383,18.4139404296875
384,76.8443603515625
385,11.64599609375
386,77.2928466796875
387,17.99560546875
388,76.3900146484375
389,12.9522705078125
390,76.3900146484375
391,11.4268798828125
392,76.6301291747319
393,8.129722229003907
394,532.620662591776
395,470.09531208496094
396,1901.529565827243
397,1853.1638698486327
398,4187.327474471931
399,4159.829447827148
400,78.0870361328125
401,19.015380859375
402,78.0870361328125
403,18.4139404296875
404,78.0870361328125
405,18.4139404296875
406,78.0870361328125
407,18.4139404296875
408,76.8443603515625
409,11.7037353515625
410,77.2928466796875
411,18.7117919921875
412,77.31396484375
413,11.9453125
414,76.3900146484375
415,12.311279296875
416,76.62908911674774
417,8.077053109741211
418,532.6905165788227
419,470.05146917724613
420,1901.541369223938
421,1852.943612060547
422,4187.369147972521
423,4159.784847506714
424,78.0870361328125
425,19.015380859375
426,78.0870361328125
427,18.4139404296875
428,78.0870361328125
429,18.4139404296875
430,78.0870361328125
431,18.4139404296875
