,0
346,0.9408045169312222
347,0.8952620516830747
348,1.034968035509638
349,1.0130347138309492
350,1.0025208326279182
351,0.9938393456174822
352,1.030776191955039
353,0.9840346427436134
354,0.9408045169312222
355,0.8952620516830747
356,1.0592714485603412
357,1.052421088019309
358,1.04718480883057
359,1.0513302602857069
360,1.0504188597362925
361,0.9844678327398081
362,0.9408045169312222
363,0.8952620516830747
364,1.0456026148289252
365,1.0184352810728088
366,0.9578646581529382
367,0.9278250563821829
368,1.0504188597362925
369,0.9844678327398081
370,0.9408045169312222
371,0.8952620516830747
372,1.034968035509638
373,1.0130347138309495
374,1.0025208326279182
375,0.9938393456174822
376,1.0504188597362925
377,0.9844678327398081
378,0.9408045169312222
379,0.8952620516830747
380,1.0592714485603412
381,1.052421088019309
382,1.04718480883057
383,1.0513302602857069
384,1.0395371074363937
385,0.9967145472936972
386,0.9446316002754175
387,0.9107960509833228
388,1.0433415797615806
389,0.9569704408969022
390,0.8996895382594455
391,0.9264853089892453
392,1.0395371074363937
393,0.9967145472936972
394,0.9446316002754175
395,0.9107960509833228
396,1.0414922673703915
397,1.0037544667456035
398,0.9979164870161406
399,0.9853207258646114
400,1.0395371074363937
401,0.9967145472936972
402,0.9446316002754175
403,0.9107960509833228
404,1.0547850001497545
405,1.0527878656298093
406,1.033716914444891
407,1.0368187472211565
408,1.0639058711108416
409,1.00434218887024
410,0.9419556786943297
411,0.9107960509833231
412,1.045761191934546
413,0.9777500725685613
414,0.9223742129543046
415,0.9264853089892453
416,1.0639058711108416
417,1.00434218887024
418,0.9419556786943297
419,0.9107960509833231
420,1.0402934651786915
421,1.0037544667456035
422,0.9979164870161406
423,0.9853207258646114
424,1.0639058711108416
425,1.00434218887024
426,0.9419556786943297
427,0.9107960509833231
428,1.0547850001497545
429,1.0527878656298093
430,1.033716914444891
431,1.0368187472211565
